licenseID, name, surname, phone_number, cash, numberPlate, color, model, type
license123, akhil, boddu, 0736737271, 1000, ca123, red, ferrari, X
license124, asif, hassam, 0736737272, 2000, ca124, purple, lamborghini, X
license125, lonwabo, mvovo, 0736737274, 3000, ca125, blue, bmwX5, XL
license126, saraah, abouri, 0736737275, 5000, ca115, yellow, Bugati, X
license127, qhawe, ntanga, 0736737215, 9000, ca515, black, GWagon, XL
license128, saaniah, blankenberg, 0736712215, 12000, cp915, silver, AudiRS8, X
license129, ontefetse, ditsele, 0736712125, 12001, ct015, lime, AstonMartin, X
license139, princess, baloyi, 0836712125, 12002, cpt015, grey, bmwX6, XL
license149, londolani, ndou, 0836712126, 12020, cpt025, black, RS3, XL
license150, luyanda, dingindlela, 0936712126, 12030, cpt025, red, Toyota chr, XL
license151, siphe, sinare, 0136712126, 12050, cpt029, grey, TeslaModelX, X
license152, yusuf, hendricks, 0934712126, 12930, cpt035, lightblue, RangeRover, XL
license153, dudu, ntikilili, 0934712129, 13930, cpt045, blue, RangeRoverSportV8, XL
